Player Name,Character,Team,Placement,Kills,Damage Dealt,Assists,Shots,Hits,Headshots,Knockdowns,Revives Given,Survival Time
SN Kazakh,sparrow,SUPERNOVA,6,1,1560,0,296,64,6,3,0,1005
SN H,caustic,SUPERNOVA,6,0,1985,1,359,74,11,1,0,899
BusDriver,alter,SUPERNOVA,6,0,363,0,203,12,4,0,2,916
SN H,caustic,SUPERNOVA,2,2,2149,2,339,155,2,8,5,1191
BusDriver,alter,SUPERNOVA,2,1,1729,0,362,43,9,3,6,1191
SN Kazakh,sparrow,SUPERNOVA,2,2,2945,3,403,166,12,4,2,1190
SN H,rampart,SUPERNOVA,13,0,429,0,392,13,1,0,0,845
BusDriver,alter,SUPERNOVA,13,0,606,0,138,26,0,0,0,845
SN Kazakh,sparrow,SUPERNOVA,13,0,528,0,88,17,3,0,0,844
BusDriver,alter,SUPERNOVA,18,0,144,0,44,4,0,0,0,469
SN Kazakh,sparrow,SUPERNOVA,18,0,108,0,52,9,0,0,0,468
SN H,wattson,SUPERNOVA,18,0,262,0,34,8,1,0,1,468
BusDriver,alter,SUPERNOVA,9,0,153,0,143,7,1,0,1,791
SN Kazakh,sparrow,SUPERNOVA,9,3,790,0,266,48,5,3,0,905
SN H,wattson,SUPERNOVA,9,0,239,2,108,9,1,0,2,652
SN Kazakh,sparrow,SUPERNOVA,6,1,991,1,188,41,4,1,0,831
SN H,madmaggie,SUPERNOVA,6,0,439,0,155,35,0,0,0,830
BusDriver,alter,SUPERNOVA,6,1,456,1,121,17,2,1,0,817
